"","weeks","bound","group"
"160",160,2.01506490794605,0
"161",161,2.00961562631361,0
"162",162,1.9659013450456,0
"163",163,1.99303384904415,0
"164",164,2.00422961290905,0
"165",165,1.99060863287341,0
"166",166,1.99483408369951,0
"167",167,1.99365285960577,0
"168",168,2.00577839283012,0
"169",169,2.01239781975319,0
"170",170,2.01480597775532,0
"171",171,2.00097465902868,0
"172",172,2.01975574732787,0
"173",173,2.00225943223904,0
"174",174,2.01286284668009,0
"175",175,1.98494986487428,0
"176",176,2.01941880539497,0
"177",177,2.01179114160405,0
"178",178,2.01039130502399,0
"179",179,2.02376940708301,0
"180",180,2.01029702785313,0
"181",181,2.03042159564449,0
"182",182,2.00129461171294,0
"183",183,2.02098116709046,0
"184",184,2.03675316437423,0
"185",185,2.03473023006917,0
"186",186,2.02097732014361,0
"187",187,2.02088108061161,0
"188",188,2.03155093983428,0
"189",189,2.01043165953394,0
"190",190,2.01925127501706,0
"191",191,2.02693058001827,0
"192",192,2.01371881986742,0
"193",193,2.05278963850251,0
"194",194,2.03203681964254,0
"195",195,2.02328748076528,0
"196",196,2.01348805551202,0
"197",197,2.01944007086227,0
"198",198,2.01956468511543,0
"199",199,2.03272106127485,0
"200",200,2.02376287969709,0
"201",201,2.01053036893658,0
"202",202,2.03237338093541,0
"203",203,2.03245485556405,0
"204",204,2.01863632488586,0
"205",205,2.03966048662549,0
"206",206,2.00656999686505,0
"207",207,2.01349080835246,0
"208",208,2.0365115535584,0
"209",1,1.6627120089185,1
"210",2,1.74831349962317,1
"211",3,1.7726121518087,1
"212",4,1.81326491343178,1
"213",5,1.8327861135616,1
"214",6,1.82773825121539,1
"215",7,1.84804392942179,1
"216",8,1.84073629456301,1
"217",9,1.88062901945376,1
"218",10,1.83941981773559,1
"219",11,1.83706075868233,1
"220",12,1.84987190592283,1
"221",13,1.87491265197617,1
"222",14,1.85341397316005,1
"223",15,1.8823070336302,1
"224",16,1.88977936252023,1
"225",17,1.86421408131781,1
"226",18,1.87540559361638,1
"227",19,1.86104203408729,1
"228",20,1.86246003839647,1
