"","weeks","delta","group","emp_rate_diff"
"217",9,0,0,0
"218",10,-0.131601575218614,0,-0.127757119294367
"219",11,-0.135691203242892,0,-0.131901296459418
"220",12,-0.136046127552764,0,-0.132590022051043
"221",13,-0.136524035555784,0,-0.134653242922088
"222",14,-0.135481667132617,0,-0.132811714838046
"223",15,-0.135026071187985,0,-0.133958605522811
"224",16,-0.135495468778833,0,-0.134670978345049
"225",17,-0.134622195985832,0,-0.131227350386928
"226",18,-0.130753738495674,0,-0.127222100701732
"227",19,-0.133795602606477,0,-0.12878872972989
"228",20,-0.135166366726813,0,-0.131242129906061
"229",21,-0.128964589777563,0,-0.12479530366
"230",22,-0.125790436681125,0,-0.121706384161085
"231",23,-0.127295560907899,0,-0.118963305409895
"232",24,-0.122512745158909,0,-0.114958055724699
"233",25,-0.122997519915229,0,-0.116577891021738
"234",26,-0.113074855120959,0,-0.106991894911707
"235",27,-0.115271898511364,0,-0.10867971599676
"236",28,-0.107554699942332,0,-0.102158992155031
"237",29,-0.102099297509788,0,-0.0974177224169834
"238",30,-0.0980457634008944,0,-0.0903560681749658
"239",31,-0.0990998204168391,0,-0.090684173499731
"240",32,-0.100348196077062,0,-0.0891737066442806
"241",33,-0.0961343908268014,0,-0.0874740619439206
"242",34,-0.100056339707751,0,-0.0888633367424757
"243",35,-0.103419885573261,0,-0.0919404326260841
"244",36,-0.102271012410282,0,-0.0912990014956873
"245",37,-0.104163976783477,0,-0.0921975962590081
"246",38,-0.104171343717965,0,-0.0921739490283944
"247",39,-0.0992361641499194,0,-0.0905363783083953
"248",40,-0.101149850107815,0,-0.0873351344640651
"249",41,-0.0967925038225299,0,-0.0839476686786519
"250",42,-0.0951697923930378,0,-0.0863419507782894
"251",43,-0.097191259267573,0,-0.0834481209319374
"252",44,-0.0936086164639984,0,-0.0817869029813246
"253",45,-0.0907887083127688,0,-0.079073383268402
"254",46,-0.0909713370080172,0,-0.0764278493434937
"255",47,-0.0910462331732667,0,-0.0755115191572127
"256",48,-0.0853193511816573,0,-0.0714323718763487
"257",49,-0.0847716121920858,0,-0.0715890347791645
"258",50,-0.0799407152089158,0,-0.0648584417657387
"259",51,-0.0761757589156363,0,-0.0668418532334632
"260",52,-0.0713426282704271,0,-0.0624316447240073
"261",53,-0.0703123318724631,0,-0.0555680360383795
"262",54,-0.0710114352106647,0,-0.0471703132666876
"263",55,-0.0757307969853127,0,-0.046177129580912
"264",56,-0.074981956959483,0,-0.0463042334454606
"265",57,-0.0713756602396187,0,-0.038604103976873
"266",58,-0.0730970573166113,0,-0.0362600722422896
"267",59,-0.0768700504494861,0,-0.0365379272020006
"268",60,-0.0667862549439586,0,-0.0293639486145679
"269",61,-0.0678237788831887,0,-0.02695193109197
"270",62,-0.0663859508199766,0,-0.0252700218145703
"271",63,-0.0624560811760407,0,-0.0281904547953628
"272",64,-0.0598533606377532,0,-0.0280397037002004
"273",65,-0.0549525443368378,0,-0.02652923684475
"274",66,-0.0481646592993058,0,-0.0245901639344263
"275",67,-0.0533378463957374,0,-0.0274958173960852
"276",68,-0.0537543622650005,0,-0.0258050404072053
"277",69,-0.0546377146651017,0,-0.0235142149415027
"278",70,-0.049558892000244,0,-0.0207120181137786
"279",71,-0.053958913619291,0,-0.0228580042919724
"280",72,-0.0508541808097682,0,-0.0212499926102404
"281",73,-0.050626869534821,0,-0.0208066070362335
"282",74,-0.0461097338041219,0,-0.0195503479098804
"283",75,-0.0456918976896888,0,-0.0219741890477851
"284",76,-0.0467356769950207,0,-0.024962607816592
"285",77,-0.0468021202040679,0,-0.0212293012834534
"286",78,-0.0444736265702476,0,-0.0213623169556555
"287",79,-0.0391320963825302,0,-0.0169757556768133
"288",80,-0.0445319659695627,0,-0.0177856733253327
"289",81,-0.0455175391799141,0,-0.0136680992947213
"290",82,-0.0367829796480875,0,-0.0127281218778266
"291",83,-0.0263853421371378,0,-0.012899564299776
"292",84,-0.0395523604522371,0,-0.0097130999745792
"293",85,-0.0367032037197519,0,-0.00874356351941735
"294",86,-0.0465215456500778,0,-0.00816420636938159
"295",87,-0.0425641600707716,0,-0.0104845908733514
"296",88,-0.0308687494749418,0,-0.0092371994584784
